,Method,ACC,precision,recall,f1-score
0,GaussianNB,0.9078947368421053,0.9508771929824561,0.9078947368421053,0.9160153347796367
1,LinearDiscriminantAnalysis,0.8157894736842105,0.8478801169590644,0.8157894736842105,0.8214504504059661
2,LogisticRegression,0.881578947368421,0.9199174406604747,0.881578947368421,0.8897249466471433
3,MLPClassifier,0.9473684210526315,0.951127819548872,0.9473684210526315,0.9476880460259962
4,DecisionTreeClassifier,0.9078947368421053,0.9167791273054432,0.9078947368421053,0.9112269838683397
5,RandomForestClassifier,0.9078947368421053,0.9167791273054432,0.9078947368421053,0.9112269838683397
6,BaggingClassifier,0.9078947368421053,0.9167791273054432,0.9078947368421053,0.9112269838683397
7,GaussianNB,0.9342105263157895,0.9595141700404858,0.9342105263157895,0.9392461497724656
8,LinearDiscriminantAnalysis,0.8157894736842105,0.8559891314825524,0.8157894736842105,0.8022239107178685
9,LogisticRegression,0.9473684210526315,0.9649122807017543,0.9473684210526315,0.9507428859229413
10,MLPClassifier,0.9210526315789473,0.9240890688259109,0.9210526315789473,0.9221997300944669
11,DecisionTreeClassifier,0.9078947368421053,0.9097744360902255,0.9078947368421053,0.9076923076923077
12,RandomForestClassifier,0.9078947368421053,0.9097744360902255,0.9078947368421053,0.9076923076923077
13,BaggingClassifier,0.9078947368421053,0.9097744360902255,0.9078947368421053,0.9076923076923077
14,GaussianNB,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.9047619047619048
15,LinearDiscriminantAnalysis,0.75,0.7829914860681114,0.75,0.7547511251246395
16,LogisticRegression,0.868421052631579,0.9241486068111455,0.868421052631579,0.8741989917976759
17,MLPClassifier,0.9736842105263158,0.9774436090225563,0.9736842105263158,0.9728166570271832
18,DecisionTreeClassifier,0.9078947368421053,0.9137426900584795,0.9078947368421053,0.910435024212114
19,RandomForestClassifier,0.9078947368421053,0.9137426900584795,0.9078947368421053,0.910435024212114
20,BaggingClassifier,0.9078947368421053,0.9137426900584795,0.9078947368421053,0.910435024212114
21,GaussianNB,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.904093567251462
22,LinearDiscriminantAnalysis,0.6842105263157895,0.7601030204745376,0.6842105263157895,0.6922749506503784
23,LogisticRegression,0.8947368421052632,0.9385416666666666,0.8947368421052632,0.900777950017634
24,MLPClassifier,0.9473684210526315,0.9486215538847119,0.9473684210526315,0.9456333140543667
25,DecisionTreeClassifier,0.9078947368421053,0.9101541733120682,0.9078947368421053,0.9086014268407593
26,RandomForestClassifier,0.9078947368421053,0.9101541733120682,0.9078947368421053,0.9086014268407593
27,BaggingClassifier,0.9078947368421053,0.9101541733120682,0.9078947368421053,0.9086014268407593
28,GaussianNB,0.9210526315789473,0.9548872180451128,0.9210526315789473,0.9273983484509799
29,LinearDiscriminantAnalysis,0.6973684210526315,0.78328320802005,0.6973684210526315,0.7006162458875347
30,LogisticRegression,0.868421052631579,0.8897674347812852,0.868421052631579,0.8711184459823299
31,MLPClassifier,0.868421052631579,0.868421052631579,0.868421052631579,0.8671180604029969
32,DecisionTreeClassifier,0.881578947368421,0.8753132832080199,0.881578947368421,0.8781129653401797
33,RandomForestClassifier,0.881578947368421,0.8753132832080199,0.881578947368421,0.8781129653401797
34,BaggingClassifier,0.881578947368421,0.8753132832080199,0.881578947368421,0.8781129653401797
35,GaussianNB,0.9342105263157895,0.9595141700404858,0.9342105263157895,0.9366107576633893
36,LinearDiscriminantAnalysis,0.8026315789473685,0.8378527059274982,0.8026315789473685,0.7998072103335261
37,LogisticRegression,0.9078947368421053,0.9325058597911783,0.9078947368421053,0.9099575862733759
38,MLPClassifier,0.9078947368421053,0.9344515133988817,0.9078947368421053,0.9100051959166208
39,DecisionTreeClassifier,0.8947368421052632,0.9026315789473683,0.8947368421052632,0.896996278575226
40,RandomForestClassifier,0.8947368421052632,0.9026315789473683,0.8947368421052632,0.896996278575226
41,BaggingClassifier,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632
42,GaussianNB,0.9473684210526315,0.9649122807017543,0.9473684210526315,0.9507428859229413
43,LinearDiscriminantAnalysis,0.8026315789473685,0.8389724310776941,0.8026315789473685,0.8053295002211411
44,LogisticRegression,0.9342105263157895,0.9404259002770083,0.9342105263157895,0.9346069418225615
45,MLPClassifier,0.9473684210526315,0.9558897243107769,0.9473684210526315,0.9409499358151476
46,DecisionTreeClassifier,0.9210526315789473,0.9159437054173898,0.9210526315789473,0.9168897854392078
47,RandomForestClassifier,0.9210526315789473,0.9159437054173898,0.9210526315789473,0.9168897854392078
48,BaggingClassifier,0.9210526315789473,0.9159437054173898,0.9210526315789473,0.9168897854392078
49,GaussianNB,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.904093567251462
50,LinearDiscriminantAnalysis,0.7105263157894737,0.7909702139965298,0.7105263157894737,0.7053675856307435
51,LogisticRegression,0.8552631578947368,0.9051535087719299,0.8552631578947368,0.861601584606678
52,MLPClassifier,0.8421052631578947,0.8527865430922708,0.8421052631578947,0.8453998720582161
53,DecisionTreeClassifier,0.881578947368421,0.8995215311004784,0.881578947368421,0.8882331687341924
54,RandomForestClassifier,0.881578947368421,0.8995215311004784,0.881578947368421,0.8882331687341924
55,BaggingClassifier,0.881578947368421,0.8929374718848403,0.881578947368421,0.8862115039921786
56,GaussianNB,0.9210526315789473,0.9548872180451128,0.9210526315789473,0.9276980329611909
57,LinearDiscriminantAnalysis,0.75,0.7745835176175734,0.75,0.7443626579365743
58,LogisticRegression,0.8947368421052632,0.9385416666666666,0.8947368421052632,0.9008029679993083
59,MLPClassifier,0.9605263157894737,0.962254120148857,0.9605263157894737,0.960829182931754
60,DecisionTreeClassifier,0.9342105263157895,0.9374003189792662,0.9342105263157895,0.9352873872661193
61,RandomForestClassifier,0.9342105263157895,0.9374003189792662,0.9342105263157895,0.9352873872661193
62,BaggingClassifier,0.9342105263157895,0.9374003189792662,0.9342105263157895,0.9352873872661193
